cadence,vertical,package_code,package_name,tier,target_client,billing_basis,included_services,package_price_inr,discount_pct,notes,other_package_type,active
weekly,Construction / Execution Support,WPK-EXE-001,Weekly Site Review,basic,Site-stage residential clients,per_week,Site supervision visit | Progress review meeting,7600,5,One weekly review cycle for active sites.,weekly,yes
weekly,Construction / Execution Support,WPK-EXE-002,Weekly Coordination Sprint,standard,Clients managing multiple vendors,per_week,Site supervision visit | Contractor coordination | Vendor coordination | Progress review meeting,35880,8,Best for active execution weeks with decisions pending.,weekly,yes
weekly,Construction / Execution Support,WPK-EXE-003,Weekly Execution Control,premium,Premium build-monitoring clients,per_week,Site supervision visit | Contractor coordination | Vendor coordination | Progress review meeting | Quality checklist support,77400,10,High-control weekly package with quality oversight.,weekly,yes
weekly,Advisory / Premium Thinking,WPK-ADV-001,Weekly Design Desk,standard,Clients needing recurring expert guidance,per_week,Review calls | Concept critique,18400,8,Useful during fast-moving design phases.,weekly,yes
weekly,UI/UX / Digital Experience,WPK-DIG-001,Weekly UX Sprint,standard,Growing businesses iterating quickly,per_week,CTA optimization | Form flow design | WhatsApp integration planning,47840,8,One focused optimization sprint per week.,weekly,yes
weekly,Graphic / Brand / Presentation,WPK-BRD-001,Weekly Brand Support,standard,Businesses preparing pitches or launches,per_week,Presentation deck | Project sheet design,24840,8,Best for weekly client meetings or investor updates.,weekly,yes
monthly,Advisory / Premium Thinking,MPK-ADV-001,Monthly Advisory Lite,basic,Small clients wanting strategic access,per_month,Monthly design advisor retainer,10000,0,Entry monthly advisory plan.,monthly,yes
monthly,Advisory / Premium Thinking,MPK-ADV-002,Monthly Advisory Pro,standard,Active design/build clients,per_month,Monthly design advisor retainer | Review calls | Concept critique,39900,5,Best-value monthly strategy and review package.,monthly,yes
monthly,Advisory / Premium Thinking,MPK-ADV-003,Monthly Advisory Signature,premium,Premium clients needing close support,per_month,Monthly design advisor retainer | Review calls | Concept critique | Site decision support | Client presentation support,107640,8,High-touch advisory package for premium clients.,monthly,yes
monthly,Construction / Execution Support,MPK-EXE-001,Monthly Site Oversight,standard,Homeowners during build stage,per_month,Project consultation | Site supervision visit | Progress review meeting | Execution timeline planning,49950,10,Assumes multiple checkpoints within a month.,monthly,yes
monthly,Construction / Execution Support,MPK-EXE-002,Monthly Execution Control,premium,Clients needing tighter build discipline,per_month,Project consultation | Site supervision visit | Contractor coordination | Vendor coordination | Progress review meeting | Quality checklist support | Billing verification support,151800,12,For active sites needing commercial and quality control.,monthly,yes
monthly,UI/UX / Digital Experience,MPK-DIG-001,Monthly Digital Growth,standard,Businesses improving website conversions,per_month,CTA optimization | Mobile UX optimization | Form flow design | WhatsApp integration planning,66600,10,Monthly improvement retainer for conversion-led websites.,monthly,yes
monthly,UI/UX / Digital Experience,MPK-DIG-002,Monthly Digital Authority,premium,Established brands maintaining premium digital systems,per_month,CTA optimization | Mobile UX optimization | Form flow design | WhatsApp integration planning | SEO-ready content structure | Developer handoff support,184800,12,Best for premium websites with ongoing growth priorities.,monthly,yes
monthly,Graphic / Brand / Presentation,MPK-BRD-001,Monthly Brand Content Direction,standard,Founders building visibility consistently,per_month,Content direction for photos/videos | Social media template pack,38640,8,Content-direction-first monthly brand support.,monthly,yes
monthly,Graphic / Brand / Presentation,MPK-BRD-002,Monthly Brand Communication Suite,premium,Businesses with recurring presentations and outreach,per_month,Content direction for photos/videos | Presentation deck | Project sheet design,93600,10,Strong for B2B firms pitching continuously.,monthly,yes
monthly,AI / Automation Layer,MPK-AUT-001,Monthly WhatsApp Automation Care,standard,Lead-driven service businesses,per_month,WhatsApp automation planning | Auto-response copy system,47700,10,Monthly refinement of message logic and automation copy.,monthly,yes
monthly,AI / Automation Layer,MPK-AUT-002,Monthly Lead System Optimization,premium,Firms with heavier inbound lead management,per_month,Lead qualification flow | CRM inquiry routing logic | Auto-response copy system | Proposal automation planning,180400,12,Best for businesses productizing sales operations.,monthly,yes
yearly,Advisory / Premium Thinking,YPK-ADV-001,Annual Strategic Advisor,standard,Founder-led businesses,per_year,Monthly design advisor retainer | Brand improvement roadmap | Content direction for photos/videos,408000,15,Long-horizon advisory with roadmap and brand guidance.,yearly,yes
yearly,UI/UX / Digital Experience,YPK-DIG-001,Annual Digital Authority Program,premium,Businesses treating website as a growth asset,per_year,SEO-ready content structure | CTA optimization | Mobile UX optimization | WhatsApp integration planning | Developer handoff support,905280,18,"Annual digital improvement program, priced below repeated ad hoc buying.",yearly,yes
yearly,Graphic / Brand / Presentation,YPK-BRD-001,Annual Brand Presence Program,premium,"Firms that pitch, publish, and present regularly",per_year,Content direction for photos/videos | Presentation deck | Project sheet design | Social media template pack,619920,18,Annualized visibility and communication support layer.,yearly,yes
yearly,AI / Automation Layer,YPK-AUT-001,Annual Lead Automation Program,premium,Firms standardizing inbound systems,per_year,Lead qualification flow | CRM inquiry routing logic | Auto-response copy system | Proposal automation planning,1008600,18,Annual planning and optimization layer for lead systems.,yearly,yes
yearly,Construction / Execution Support,YPK-EXE-001,Annual Project Governance Advisory,premium,Builders or developers with multiple active phases,per_year,Project consultation | Execution timeline planning | Billing verification support | Quality checklist support,402900,15,"Advisory-style yearly governance package, not daily site management.",yearly,yes
one_time,Cross-Vertical,OPK-CROSS-001,Launch Readiness Package,standard,New or relaunching businesses,one_time,Brand consultation | Company profile design | Homepage design | CTA optimization,77400,10,Cross-vertical package for businesses going public soon.,launch,yes
one_time,Cross-Vertical,OPK-CROSS-002,Authority Stack Package,premium,Premium founders wanting design + brand + digital alignment,one_time,Brand consultation | Logo refinement | Homepage design | Service page design | CTA optimization | Content direction for photos/videos,206800,12,High-leverage premium cross-vertical package.,authority,yes
quarterly,Cross-Vertical,QPK-CROSS-001,Quarterly Growth Reset,standard,Businesses wanting a quarterly strategic cleanup,per_quarter,Design audit | Conversion audit for website | Brand improvement roadmap,64800,10,Quarterly review and improvement system.,quarterly,yes
quarterly,Construction / Execution Support,QPK-EXE-001,Quarterly Site Governance,standard,Clients with long construction timelines,per_quarter,Project consultation | Execution timeline planning | Billing verification support,30600,10,Good for slow-moving but important projects.,quarterly,yes
quarterly,AI / Automation Layer,QPK-AUT-001,Quarterly Automation Audit,standard,Businesses gradually improving lead systems,per_quarter,AI chatbot planning | Lead qualification flow | FAQ automation map,78300,10,Quarterly strategic review package for automation maturity.,quarterly,yes
