category,microservice,public_cluster,unit_type,unit_label,basic_cost_inr,standard_cost_inr,premium_cost_inr,basic_scope_notes,standard_scope_notes,premium_scope_notes,internal_pricing_note
Architecture,Site visit / requirement discovery,Architecture & Planning,per_visit,visit,4000,7500,12000,"Single visit, verbal findings only.",Visit with notes and requirement summary.,"Visit, requirement mapping, and next-step roadmap.",Add travel multiplier later for outstation jobs.
Architecture,Design consultation,Architecture & Planning,per_meeting,60 min,1500,3000,5000,One consultation session.,Session plus summary notes.,Deep session plus strategic recommendation sheet.,
Architecture,Concept design,Architecture & Planning,per_sqft,sq ft,18,28,40,One concept direction.,2 concept options with refinement.,Multi-option concept with stronger experience thinking.,
Architecture,Space planning,Architecture & Planning,per_sqft,sq ft,12,18,28,Basic planning blocks.,Optimized usable planning.,Premium circulation and efficiency planning.,
Architecture,Floor plan design,Architecture & Planning,per_sqft,sq ft,20,32,48,Single planning pass.,Refined plan with furniture logic.,Premium plan with better flow and zoning.,
Architecture,Furniture layout,Architecture & Planning,per_sqft,sq ft,8,14,22,Basic furniture placement.,Functional furniture layout.,Detailed layout with custom-use planning.,
Architecture,Zoning options,Architecture & Planning,per_sqft,sq ft,10,16,24,Single zoning option.,2 zoning options.,Multi-option zoning with rationale sheet.,
Architecture,Schematic design set,Architecture & Planning,per_sqft,sq ft,22,36,55,Concept drawings only.,Refined schematic set.,Premium schematic presentation set.,
Architecture,Working drawings,Architecture & Planning,per_sqft,sq ft,25,40,60,Essential technical drawings.,Detailed execution-ready drawings.,Expanded coordinated drawing set.,
Architecture,Municipal / approval drawing support,Architecture & Planning,per_project,project,25000,45000,70000,Basic submission support.,Detailed submission coordination.,Priority support with revisions and consultant coordination.,Government fees excluded.
Architecture,Presentation drawings,Architecture & Planning,per_sheet,sheet,2500,4500,7500,Simple presentation sheet.,Refined presentation composition.,Premium client-ready presentation board.,
Architecture,Detail drawings,Architecture & Planning,per_detail,detail sheet,3000,5500,9000,Simple detail sheet.,Buildable detailed sheet.,Premium specification-rich detail sheet.,
Architecture,Staircase details,Architecture & Planning,per_staircase,staircase,8000,14000,22000,Basic staircase detail.,Buildable staircase detail set.,Premium staircase with railing and finish logic.,
Architecture,Toilet details,Architecture & Planning,per_toilet,toilet,6000,11000,18000,Basic toilet detailing.,Detailed toilet sheet set.,Premium detailing with finish and fixture coordination.,
Architecture,Kitchen details,Architecture & Planning,per_kitchen,kitchen,12000,22000,38000,Basic kitchen detail sheet.,Detailed kitchen build set.,Premium kitchen detailing with hardware logic.,
Architecture,Door-window schedule,Architecture & Planning,per_schedule,schedule,6000,10000,16000,Basic schedule table.,Structured schedule with dimensions.,Premium schedule with material/finish notes.,
Architecture,Material suggestions,Architecture & Planning,per_project,project,5000,9000,15000,Basic material shortlist.,Curated material selection list.,Premium selection with combination guidance.,
Architecture,Design revisions,Architecture & Planning,per_revision_round,round,3000,6000,10000,Minor revision round.,Major revision round.,High-involvement revision round.,Base packages should already include limited revisions.
Architecture,BOQ support,Architecture & Planning,per_project,project,12000,22000,40000,Basic quantity support.,Structured BOQ support.,Detailed BOQ with review call.,
Architecture,Site coordination drawings,Architecture & Planning,per_project,project,10000,18000,30000,Basic coordination set.,Coordinated site support set.,Premium coordination drawing package.,
Drawings,Floor plans,Drawings & Technical Documentation,per_floor,floor,7000,12000,18000,One floor plan.,Refined plan with annotations.,Presentation-grade plan sheet.,
Drawings,Sections,Drawings & Technical Documentation,per_section,section,5000,8500,14000,One section.,Detailed section with annotations.,Premium section with material depth.,
Drawings,Elevations,Drawings & Technical Documentation,per_elevation,elevation,5000,9000,15000,One elevation.,Refined elevation with finishes.,Premium elevation with strong presentation quality.,
Drawings,Terrace plan,Drawings & Technical Documentation,per_floor,terrace/floor,5000,8500,14000,Basic terrace plan.,Detailed terrace layout.,Premium terrace plan with utility and design logic.,
Drawings,Roof plan,Drawings & Technical Documentation,per_floor,roof/floor,5000,8500,14000,Basic roof plan.,Detailed roof plan.,Premium roof plan with service coordination.,
Drawings,Reflected ceiling plan,Drawings & Technical Documentation,per_floor,floor,6000,10000,16000,Basic ceiling plan.,Ceiling with lighting coordination.,Premium false ceiling and feature integration.,
Drawings,Electrical layout,Drawings & Technical Documentation,per_floor,floor,6500,11000,17000,Point layout only.,Detailed switching and circuit notes.,Premium electrical layout with layered logic.,
Drawings,Plumbing layout,Drawings & Technical Documentation,per_floor,floor,6500,11000,17000,Basic plumbing layout.,Detailed wet-area planning.,Premium coordinated plumbing sheet.,
Drawings,HVAC coordination layout,Drawings & Technical Documentation,per_floor,floor,8000,14000,22000,Basic HVAC coordination.,Structured coordination layout.,Premium HVAC coordination with conflict reduction.,
Drawings,Flooring layout,Drawings & Technical Documentation,per_floor,floor,5000,9000,15000,Basic finish zoning.,Pattern-aware flooring layout.,Premium flooring logic with finish coding.,
Drawings,False ceiling layout,Drawings & Technical Documentation,per_floor,floor,6000,10000,16000,Simple ceiling layout.,Detailed false ceiling plan.,Premium ceiling feature layout.,
Drawings,Lighting layout,Drawings & Technical Documentation,per_floor,floor,5000,9000,15000,Basic light placement.,Layered lighting layout.,Premium ambient/task/accent layout.,
Drawings,Joinery drawings,Drawings & Technical Documentation,per_item,joinery item,5000,9000,15000,Basic joinery drawing.,Detailed joinery sheet.,Premium joinery package with sections and finishes.,
Drawings,Wardrobe drawings,Drawings & Technical Documentation,per_wardrobe,wardrobe,6000,11000,18000,Basic wardrobe drawing.,Detailed wardrobe drawing set.,Premium wardrobe detailing with internal layout.,
Drawings,Kitchen drawings,Drawings & Technical Documentation,per_kitchen,kitchen,12000,22000,38000,Basic kitchen drawing set.,Detailed kitchen modules and sections.,Premium kitchen technical pack.,
Drawings,Stair details,Drawings & Technical Documentation,per_staircase,staircase,8000,14000,22000,Basic stair detail.,Buildable stair detail.,Premium stair detail with railing and finish notes.,
Drawings,Compound wall drawings,Drawings & Technical Documentation,per_project,project,7000,12000,20000,Basic compound wall drawings.,Detailed compound wall design.,Premium boundary design drawings.,
Drawings,Gate drawings,Drawings & Technical Documentation,per_gate,gate,5000,9000,15000,Basic gate drawing.,Detailed gate design.,Premium gate detailing with finish notes.,
Drawings,Landscape layout,Drawings & Technical Documentation,per_project,project,10000,18000,30000,Basic outdoor layout.,Structured outdoor zoning layout.,Premium integrated landscape layout.,
3D / Visualization,Basic 3D massing,3D Visualization,per_project,project,12000,22000,35000,Simple conceptual massing.,Refined form study model.,Premium massing with option study.,
3D / Visualization,Exterior 3D model,3D Visualization,per_project,project,18000,32000,55000,Basic exterior model.,Detailed exterior model.,Premium detailed exterior model for presentation.,
3D / Visualization,Interior 3D model,3D Visualization,per_space,space/room,12000,22000,38000,Basic room model.,Detailed interior model.,Premium high-detail model with styling support.,
3D / Visualization,Still renders,3D Visualization,per_view,view,8000,14000,24000,Good still render.,Refined still render.,Premium polished presentation render.,
3D / Visualization,High-quality photoreal renders,3D Visualization,per_view,view,12000,22000,38000,Basic photoreal output.,Higher realism and better scene balance.,Premium cinematic photoreal quality.,
3D / Visualization,Day views,3D Visualization,per_view_variant,variant,2500,4000,6500,Simple daylight variant.,Refined daylight scene.,Premium daylight mood variant.,
3D / Visualization,Night views,3D Visualization,per_view_variant,variant,3000,5000,8000,Simple night variant.,Refined lighting mood variant.,Premium cinematic night scene.,
3D / Visualization,Walkthrough frames,3D Visualization,per_frame_set,frame set,8000,15000,26000,Basic camera frame set.,Refined keyframe set.,Premium storyboard-ready frame set.,
3D / Visualization,360 views,3D Visualization,per_view,360 view,12000,20000,32000,Basic 360 scene.,Refined immersive scene.,Premium interactive-like 360 presentation.,
3D / Visualization,Animated walkthrough,3D Visualization,per_minute,minute,45000,75000,125000,Basic camera path animation.,Polished walkthrough animation.,Premium cinematic walkthrough.,
3D / Visualization,Material mood render,3D Visualization,per_board,board/render,7000,12000,20000,Basic material mood scene.,Refined material atmosphere.,Premium brand-quality mood rendering.,
3D / Visualization,Facade options render,3D Visualization,per_option,option,7000,12000,22000,One facade option render.,Two refined options.,Premium option comparison visuals.,
3D / Visualization,Before/after design visuals,3D Visualization,per_pair,image pair,8000,14000,22000,Basic transformation pair.,Refined before/after comparison.,Premium story-led transformation visual.,
Interior Design,Interior consultation,Interior Design,per_meeting,60 min,1500,3000,5000,Single interior consult.,Consultation with summary notes.,Deep consultation with direction sheet.,
Interior Design,Space planning,Interior Design,per_sqft,sq ft,12,18,28,Basic planning.,Refined planning.,Premium space optimization.,
Interior Design,Mood board,Interior Design,per_space,space/room,4000,8000,15000,Reference mood board.,Curated design mood board.,Premium concept board with narrative.,
Interior Design,Material palette,Interior Design,per_space,space/room,5000,9000,16000,Basic finishes list.,Balanced material palette.,Premium material curation with combinations.,
Interior Design,Furniture layout,Interior Design,per_space,space/room,3500,7000,12000,Basic furniture placement.,Functional layout and proportions.,Premium lifestyle-driven layout.,
Interior Design,False ceiling concept,Interior Design,per_space,space/room,6000,11000,18000,Basic ceiling idea.,Refined ceiling concept.,Premium feature ceiling concept.,
Interior Design,Lighting concept,Interior Design,per_space,space/room,5000,9500,17000,Basic light concept.,Layered lighting concept.,Premium ambience-driven lighting concept.,
Interior Design,Custom furniture design,Interior Design,per_item,item,6000,12000,22000,Basic custom piece design.,Detailed custom furniture design.,Premium furniture design with joinery logic.,
Interior Design,Modular kitchen design,Interior Design,per_kitchen,kitchen,15000,28000,45000,Basic kitchen concept.,Detailed kitchen planning.,Premium workflow-led kitchen design.,
Interior Design,Wardrobe design,Interior Design,per_wardrobe,wardrobe,7000,12000,20000,Basic wardrobe concept.,Detailed wardrobe planning.,Premium internal organization and finish logic.,
Interior Design,Bedroom detailing,Interior Design,per_room,room,12000,22000,38000,Basic bedroom detailing.,Detailed bedroom interior package.,Premium bedroom concept and execution detailing.,
Interior Design,Living room detailing,Interior Design,per_room,room,12000,22000,38000,Basic living room detailing.,Detailed living room package.,Premium living room design and detailing.,
Interior Design,Office interior planning,Interior Design,per_sqft,sq ft,18,30,48,Basic office planning.,Refined workflow-led planning.,Premium brand and productivity-led planning.,
Interior Design,Retail interior planning,Interior Design,per_sqft,sq ft,20,34,55,Basic retail planning.,Customer-flow-led retail planning.,Premium merchandising and experience planning.,
Interior Design,Interior BOQ,Interior Design,per_project,project,5000,9500,18000,Basic interior quantity support.,Structured interior BOQ.,Detailed BOQ with review call.,
Interior Design,Execution drawings,Interior Design,per_room,room,12000,22000,38000,Essential execution sheets.,Detailed room-wise execution set.,Premium coordinated execution drawing pack.,
Interior Design,Vendor coordination support,Interior Design,per_day,day,5000,9000,16000,Basic coordination support.,Structured vendor coordination day.,Premium coordination with follow-up and issue notes.,
Landscape,Landscape concept,Landscape,per_sqft,sq ft,10,18,28,Basic outdoor concept.,Balanced landscape concept.,Premium experiential landscape concept.,
Landscape,Garden zoning,Landscape,per_sqft,sq ft,8,14,22,Basic garden zoning.,Functional garden zoning.,Premium zoned outdoor experience planning.,
Landscape,Hardscape layout,Landscape,per_sqft,sq ft,6,10,16,Basic hardscape layout.,Detailed path and paving layout.,Premium hardscape layout with material logic.,
Landscape,Softscape planting plan,Landscape,per_sqft,sq ft,6,10,16,Basic planting zones.,Structured planting layout.,Premium planting concept with species logic.,
Landscape,Lighting layout,Landscape,per_project,project,8000,15000,25000,Basic outdoor lighting plan.,Layered outdoor lighting plan.,Premium ambience and feature lighting layout.,
Landscape,Water feature concept,Landscape,per_feature,feature,8000,15000,28000,Basic water feature idea.,Detailed water feature concept.,Premium feature concept with experience emphasis.,
Landscape,Outdoor seating design,Landscape,per_zone,zone,7000,12000,20000,Basic seating design.,Refined outdoor seating concept.,Premium social-use seating zone design.,
Landscape,Terrace landscape concept,Landscape,per_terrace,terrace,12000,22000,38000,Basic terrace landscape concept.,Detailed terrace use concept.,Premium terrace experience design.,
Landscape,Entrance landscape concept,Landscape,per_entry,entry zone,7000,12000,22000,Basic entrance landscape.,Refined arrival experience concept.,Premium arrival statement landscape design.,
Landscape,Irrigation concept support,Landscape,per_project,project,6000,10000,18000,Basic irrigation concept notes.,Structured irrigation support.,Premium irrigation concept coordination.,
Landscape,Landscape 3D views,Landscape,per_view,view,9000,15000,26000,Basic outdoor view.,Refined landscape presentation view.,Premium atmospheric landscape render.,
Graphic / Brand / Presentation,Brand consultation,Brand & Presentation,per_meeting,60 min,2000,4000,7000,Single brand consultation.,Consultation with summary.,Strategic brand consultation with action points.,
Graphic / Brand / Presentation,Logo refinement,Brand & Presentation,per_project,project,12000,25000,45000,Minor logo refinement.,Refined logo with variants.,Premium logo refinement with brand reasoning.,
Graphic / Brand / Presentation,Color palette selection,Brand & Presentation,per_project,project,5000,10000,18000,Basic palette selection.,Structured palette system.,Premium palette with brand application logic.,
Graphic / Brand / Presentation,Typography selection,Brand & Presentation,per_project,project,5000,10000,18000,Basic type pairing.,Type system with hierarchy.,Premium type system with brand-use rationale.,
Graphic / Brand / Presentation,Brand guideline sheet,Brand & Presentation,per_document,document,8000,18000,32000,Basic one-sheet guideline.,Structured mini brand guideline.,Premium brand rule sheet with applications.,
Graphic / Brand / Presentation,Company profile design,Brand & Presentation,per_document,document,12000,25000,45000,Compact profile design.,Structured profile document.,Premium brand-led profile deck.,
Graphic / Brand / Presentation,Brochure design,Brand & Presentation,per_document,document,8000,18000,32000,Basic brochure design.,Detailed brochure design.,Premium brochure with richer visuals and layout.,
Graphic / Brand / Presentation,Presentation deck,Brand & Presentation,per_deck,deck,10000,22000,40000,Basic deck cleanup/design.,Structured presentation deck.,Premium persuasive deck with storytelling.,
Graphic / Brand / Presentation,Proposal template,Brand & Presentation,per_template,template,6000,12000,22000,Basic proposal template.,Branded reusable proposal template.,Premium modular proposal system.,
Graphic / Brand / Presentation,Social media template pack,Brand & Presentation,per_pack,pack,6000,12000,22000,Basic editable pack.,Larger template system.,Premium multi-format social kit.,
Graphic / Brand / Presentation,Business card design,Brand & Presentation,per_set,set,3000,6000,10000,Simple card design.,Branded front-back set.,Premium card system with print logic.,
Graphic / Brand / Presentation,Letterhead / stationery,Brand & Presentation,per_set,set,5000,9000,16000,Basic stationery set.,Structured stationery suite.,Premium stationery system.,
Graphic / Brand / Presentation,Signage concept,Brand & Presentation,per_item,item,5000,10000,18000,Basic signage concept.,Refined signage concept.,Premium signage with environmental awareness.,
Graphic / Brand / Presentation,Hoarding / site board design,Brand & Presentation,per_item,item,5000,10000,18000,Basic hoarding/site board.,Refined communication board.,Premium large-format communication design.,
Graphic / Brand / Presentation,Project sheet design,Brand & Presentation,per_sheet,sheet,2500,5000,9000,Basic project sheet.,Structured presentation sheet.,Premium portfolio-grade project sheet.,
UI/UX / Digital Experience,Website discovery,Digital Experience,per_workshop,workshop,5000,12000,22000,Basic discovery session.,Structured discovery and notes.,Premium strategy workshop with roadmap.,
UI/UX / Digital Experience,Sitemap planning,Digital Experience,per_project,project,8000,18000,32000,Basic sitemap.,Clear information grouping.,Premium user journey-based sitemap.,
UI/UX / Digital Experience,Information architecture,Digital Experience,per_project,project,10000,22000,38000,Basic IA structure.,Detailed IA and content hierarchy.,Premium conversion-led information architecture.,
UI/UX / Digital Experience,UX wireframes,Digital Experience,per_page,page,2500,5000,9000,Low-fi wireframe.,Structured content wireframe.,Premium conversion-oriented wireframe.,
UI/UX / Digital Experience,Homepage design,Digital Experience,per_page,page,20000,35000,60000,Strong homepage design.,Premium homepage with better CTA logic.,Flagship homepage experience design.,
UI/UX / Digital Experience,Service page design,Digital Experience,per_page,page,10000,18000,30000,Basic service page.,Structured service page with better flow.,Premium service page with stronger conversion and trust.,
UI/UX / Digital Experience,Contact funnel design,Digital Experience,per_project,project,10000,18000,32000,Basic contact structure.,Optimized inquiry flow.,Premium qualification-based contact funnel.,
UI/UX / Digital Experience,CTA optimization,Digital Experience,per_project,project,12000,22000,38000,Basic CTA cleanup.,Improved CTA logic and placements.,Premium conversion-focused CTA architecture.,
UI/UX / Digital Experience,Mobile UX optimization,Digital Experience,per_project,project,12000,22000,38000,Basic mobile cleanup.,Responsive UX refinement.,Premium mobile-first optimization.,
UI/UX / Digital Experience,Form flow design,Digital Experience,per_project,project,8000,15000,26000,Basic form cleanup.,Better form logic and steps.,Premium low-friction form experience.,
UI/UX / Digital Experience,WhatsApp integration planning,Digital Experience,per_project,project,8000,15000,26000,Basic WhatsApp CTA planning.,Structured message and page flow.,Premium lead qualification flow to WhatsApp.,
UI/UX / Digital Experience,Portfolio page design,Digital Experience,per_page,page,10000,18000,30000,Basic portfolio page.,Structured project listing page.,Premium portfolio experience page.,
UI/UX / Digital Experience,Blog structure,Digital Experience,per_project,project,8000,15000,26000,Basic blog page structure.,Better category and reading structure.,Premium content-led knowledge hub structure.,
UI/UX / Digital Experience,SEO-ready content structure,Digital Experience,per_project,project,15000,28000,50000,Basic SEO hygiene.,Structured pages and metadata alignment.,Premium search-intent aligned page structure.,
UI/UX / Digital Experience,Design system / component library,Digital Experience,per_project,project,18000,35000,65000,Basic reusable style system.,Structured component library.,Premium scalable design system.,
UI/UX / Digital Experience,Developer handoff support,Digital Experience,per_project,project,10000,18000,32000,Basic handoff package.,Handoff plus review checkpoints.,Premium handoff plus QA reviews.,
Construction / Execution Support,Project consultation,Execution Support,per_meeting,60 min,2000,4000,7000,Basic project consultation.,Structured consultation with notes.,Premium consultation with decision roadmap.,
Construction / Execution Support,Scope definition,Execution Support,per_project,project,8000,15000,26000,Basic scope note.,Structured scope document.,Premium scope framework with exclusions and priorities.,
Construction / Execution Support,Tender package support,Execution Support,per_project,project,18000,32000,55000,Basic tender support.,Structured tender package prep.,Premium tender support with comparison framework.,
Construction / Execution Support,BOQ review,Execution Support,per_project,project,10000,18000,30000,Basic BOQ review.,Structured BOQ comments.,Premium BOQ review with recommendation notes.,
Construction / Execution Support,Material selection support,Execution Support,per_project,project,8000,15000,26000,Basic selection guidance.,Curated selection support.,Premium shortlist with decision logic.,
Construction / Execution Support,Site supervision visit,Execution Support,per_visit,visit,5000,9000,15000,One site review visit.,Visit plus comments.,Visit plus report and decision support.,
Construction / Execution Support,Contractor coordination,Execution Support,per_day,day,8000,15000,25000,Basic coordination day.,Structured coordination and notes.,Premium coordination with issue follow-up.,
Construction / Execution Support,Vendor coordination,Execution Support,per_day,day,5000,9000,16000,Basic vendor coordination.,Structured coordination day.,Premium follow-up and accountability support.,
Construction / Execution Support,Quality checklist support,Execution Support,per_project,project,7000,12000,20000,Basic checklist.,Structured quality checklist system.,Premium checklist plus review workflow.,
Construction / Execution Support,Progress review meeting,Execution Support,per_meeting,meeting,3000,6000,10000,Basic review meeting.,Review with notes and decisions.,Premium review with issue log and next-step summary.,
Construction / Execution Support,Execution timeline planning,Execution Support,per_project,project,10000,18000,30000,Basic timeline plan.,Structured milestone sequence.,Premium timeline with dependencies and risks.,
Construction / Execution Support,Billing verification support,Execution Support,per_bill_cycle,bill cycle,6000,12000,22000,Basic billing check.,Structured review with comments.,Premium detailed bill review with meeting.,
Advisory / Premium Thinking,Monthly design advisor retainer,Advisory,per_month,month,10000,22000,40000,2 calls/month.,4 calls/month + summary.,High-availability monthly design advisory.,
Advisory / Premium Thinking,Review calls,Advisory,per_call_pack,call pack,5000,10000,18000,2-call pack.,4-call pack.,Priority call pack with follow-up notes.,
Advisory / Premium Thinking,Concept critique,Advisory,per_review,review,5000,10000,18000,High-level critique.,Structured critique with notes.,Deep critique with action roadmap.,
Advisory / Premium Thinking,Site decision support,Advisory,per_visit,visit,5000,9000,15000,On-site decision support.,Structured decision support visit.,Premium decision support with follow-up note.,
Advisory / Premium Thinking,Vendor selection guidance,Advisory,per_project,project,8000,15000,26000,Basic shortlist guidance.,Structured vendor comparison.,Premium vendor evaluation support.,
Advisory / Premium Thinking,Client presentation support,Advisory,per_presentation,presentation,8000,15000,26000,Basic presentation support.,Structured presentation prep.,Premium support with narrative and review.,
Advisory / Premium Thinking,Design audit,Advisory,per_project,project,12000,22000,38000,Basic design audit.,Structured audit with recommendations.,Premium audit with roadmap and call.,
Advisory / Premium Thinking,Conversion audit for website,Advisory,per_project,project,12000,22000,38000,Basic conversion review.,Structured website conversion audit.,Premium audit with funnel improvements.,
Advisory / Premium Thinking,Brand improvement roadmap,Advisory,per_project,project,15000,28000,50000,Basic roadmap document.,Structured brand improvement plan.,Premium phased roadmap with priorities.,
Advisory / Premium Thinking,Content direction for photos/videos,Advisory,per_month,month,15000,30000,55000,Basic monthly direction notes.,Content direction plan and shot guidance.,Premium direction with review loops.,
AI / Automation Layer,AI chatbot planning,Automation,per_project,project,15000,30000,55000,Basic FAQ and bot scope.,Scenario mapping and routing.,Premium chatbot strategy with conversion logic.,
AI / Automation Layer,Lead qualification flow,Automation,per_project,project,18000,35000,65000,Basic qualification map.,Structured lead scoring flow.,Premium qualification logic with escalation paths.,
AI / Automation Layer,FAQ automation map,Automation,per_project,project,12000,22000,38000,Basic FAQ map.,Structured automated FAQ decision tree.,Premium FAQ architecture with routing logic.,
AI / Automation Layer,WhatsApp automation planning,Automation,per_project,project,18000,35000,65000,Basic WhatsApp flow map.,Structured branch logic and responses.,Premium qualification and escalation logic.,
AI / Automation Layer,AI voice workflow planning,Automation,per_project,project,35000,65000,120000,Basic voice workflow use-case.,Structured call flow and scripts.,Premium multi-scenario voice architecture.,
AI / Automation Layer,CRM inquiry routing logic,Automation,per_project,project,18000,32000,58000,Basic lead routing map.,Structured CRM stage logic.,"Premium routing, ownership, and follow-up design.",
AI / Automation Layer,Auto-response copy system,Automation,per_project,project,10000,18000,32000,Basic response templates.,Structured response library.,Premium brand-toned multi-scenario response system.,
AI / Automation Layer,Proposal automation planning,Automation,per_project,project,15000,28000,50000,Basic automation concept.,Structured proposal automation map.,Premium workflow with data and approval logic.,
