vertical,package_code,package_name,target_client,package_unit_type,basic_price_inr,standard_price_inr,premium_price_inr,basic_discount_pct,standard_discount_pct,premium_discount_pct,basic_service_names,standard_service_names,premium_service_names,basic_notes,standard_notes,premium_notes,upsell_trigger,public_visible,active
Architecture,PKG-ARC-001,Discovery & Feasibility Pack,Plot owners / first-time clients,per_package,5225,17955,28847,5,8,10,Site visit / requirement discovery | Design consultation,Site visit / requirement discovery | Design consultation | Zoning options | Material suggestions,Site visit / requirement discovery | Design consultation | Zoning options | Space planning | Material suggestions,Best for early-stage clarity before design starts.,Adds zoning and starter material direction.,Adds deeper planning and better pre-design confidence.,Upsell to Concept Design Package when client confirms scope.,yes,yes
Architecture,PKG-ARC-002,Concept Design Package,Homeowners / early-stage developers,per_sqft_package,48,6526,10976,5,8,10,Concept design | Space planning | Floor plan design,Concept design | Space planning | Floor plan design | Furniture layout | Zoning options,Concept design | Space planning | Floor plan design | Furniture layout | Zoning options | Schematic design set,Good entry package to begin design exploration.,Best value package for usable concept development.,Adds stronger schematic presentation depth.,Upsell to Drawing Development Package after concept approval.,yes,yes
Architecture,PKG-ARC-003,Drawing Development Package,Clients ready for detailed design,per_sqft_package,9519,25366,75697,5,8,10,Floor plan design | Sections | Elevations,Floor plan design | Sections | Elevations | Working drawings | Door-window schedule,Floor plan design | Sections | Elevations | Working drawings | Door-window schedule | Detail drawings | Site coordination drawings,Basic drawing starter for approvals and review.,Adds technical readiness for execution.,Adds higher coordination and detailing.,Upsell to Approval / Execution Package.,yes,yes
Architecture,PKG-ARC-004,Approval & Submission Package,Clients needing authority submission support,per_package,33269,61669,104893,5,8,10,Floor plan design | Sections | Elevations | Municipal / approval drawing support,Floor plan design | Sections | Elevations | Municipal / approval drawing support | Presentation drawings,Floor plan design | Sections | Elevations | Municipal / approval drawing support | Presentation drawings | Design revisions,Basic authority support package.,Adds cleaner submission presentation.,Adds better revision handling for approval-stage changes.,Upsell to Full Architecture Package.,yes,yes
Architecture,PKG-ARC-005,Full Architecture Package,Serious residential / commercial clients,per_sqft_package,9470,39271,114184,6,10,12,Concept design | Space planning | Floor plan design | Sections | Elevations | Working drawings,Concept design | Space planning | Floor plan design | Furniture layout | Zoning options | Sections | Elevations | Working drawings | Door-window schedule | Material suggestions,Concept design | Space planning | Floor plan design | Furniture layout | Zoning options | Schematic design set | Working drawings | Presentation drawings | Detail drawings | Door-window schedule | Material suggestions | BOQ support | Site coordination drawings,Covers the core architecture journey.,Balanced full-package design set for most serious projects.,"Premium architecture system with detail, BOQ, and coordination.",Upsell to Execution Support Package.,yes,yes
Drawings,PKG-DRW-001,Drawing Essentials,Small projects / drafting-only clients,per_package,16150,42780,90000,5,8,10,Floor plans | Sections | Elevations,Floor plans | Sections | Elevations | Terrace plan | Roof plan,Floor plans | Sections | Elevations | Terrace plan | Roof plan | Door-window schedule | Detail drawings,Core drawing trio.,Adds terrace and roof completeness.,Adds schedule and detail depth.,Upsell to Technical Layout Package.,yes,yes
Drawings,PKG-DRW-002,Technical Layout Package,Execution-ready drawing clients,per_package,19950,56120,115200,5,8,10,Electrical layout | Plumbing layout | Lighting layout,Electrical layout | Plumbing layout | HVAC coordination layout | Lighting layout | Reflected ceiling plan,Electrical layout | Plumbing layout | HVAC coordination layout | Lighting layout | Reflected ceiling plan | False ceiling layout | Flooring layout,Basic service-layout bundle.,Adds HVAC and ceiling coordination.,Adds interior finish coordination.,Upsell to Full Execution Drawings.,yes,yes
Drawings,PKG-DRW-003,Joinery & Detail Package,Interior execution clients,per_package,10450,38640,83700,5,8,10,Joinery drawings | Wardrobe drawings,Joinery drawings | Wardrobe drawings | Kitchen drawings,Joinery drawings | Wardrobe drawings | Kitchen drawings | Stair details,Useful for small interiors.,Best value for key joinery zones.,Adds staircase detailing for larger fit-outs.,Upsell to Interior Execution Package.,yes,yes
Drawings,PKG-DRW-004,Site Elements Package,Residential plot owners,per_package,11400,35880,65250,5,8,10,Compound wall drawings | Gate drawings,Compound wall drawings | Gate drawings | Landscape layout,Compound wall drawings | Gate drawings | Landscape layout | Presentation drawings,Boundary and gate basics.,Adds outdoor planning.,Adds cleaner client presentation value.,Upsell to Landscape Package.,yes,yes
3D / Visualization,PKG-VIZ-001,3D Starter Package,Clients needing visual clarity,per_package,19000,46000,96750,5,8,10,Basic 3D massing | Still renders,Exterior 3D model | Still renders | Day views,Exterior 3D model | High-quality photoreal renders | Day views | Night views,Good for early visual understanding.,Adds stronger exterior communication.,Premium exterior presentation pack.,Upsell to Marketing Visualization Pack.,yes,yes
3D / Visualization,PKG-VIZ-002,Interior Visualization Package,Interior clients needing approval visuals,per_package,19000,51520,115200,5,8,10,Interior 3D model | Still renders,Interior 3D model | High-quality photoreal renders | Material mood render,Interior 3D model | High-quality photoreal renders | Material mood render | 360 views,Basic interior visual decision-making.,Adds stronger realism and material feel.,Adds immersive experience presentation.,Upsell to Walkthrough Package.,yes,yes
3D / Visualization,PKG-VIZ-003,Marketing Visualization Pack,Developers / brand-led projects,per_package,16625,52440,110250,5,8,10,High-quality photoreal renders | Day views | Night views,High-quality photoreal renders | Day views | Night views | Facade options render | Before/after design visuals,High-quality photoreal renders | Day views | Night views | Facade options render | Before/after design visuals | Walkthrough frames,Basic marketing-ready render set.,Adds option comparison and transformation visuals.,Adds frame-based storytelling for campaigns.,Upsell to Animated Walkthrough.,yes,yes
3D / Visualization,PKG-VIZ-004,Walkthrough Package,Premium clients / launch presentations,per_package,50350,86480,177750,5,8,10,Walkthrough frames | Animated walkthrough,Walkthrough frames | Animated walkthrough | Day views,Walkthrough frames | Animated walkthrough | Day views | Night views | 360 views,Entry animation package.,Adds better presentation coverage.,Adds immersive variants for flagship projects.,Upsell to Full Digital Authority or brand launch assets.,yes,yes
Interior Design,PKG-INT-001,Interior Starter Room Package,Middle-budget first-time interiors clients,per_package,8550,33580,74700,5,8,10,Interior consultation | Mood board | Furniture layout,Interior consultation | Mood board | Material palette | Furniture layout | Lighting concept,Interior consultation | Mood board | Material palette | Furniture layout | False ceiling concept | Lighting concept,Easy low-commitment interior start.,Most balanced room-start package.,Adds stronger atmosphere and ceiling direction.,Upsell to Room Detailing Package.,yes,yes
Interior Design,PKG-INT-002,Room Detailing Package,Bedroom / living room clients,per_package,12000,41800,104880,0,5,8,Bedroom detailing,Bedroom detailing | Living room detailing,Bedroom detailing | Living room detailing | Execution drawings,Single-room focused detailing.,Two key room package.,Adds execution layer for smoother delivery.,Upsell to Full Interior Package.,yes,yes
Interior Design,PKG-INT-003,Kitchen & Storage Package,Residential interiors clients,per_package,20900,57040,128700,5,8,10,Modular kitchen design | Wardrobe design,Modular kitchen design | Wardrobe design | Kitchen drawings,Modular kitchen design | Wardrobe design | Kitchen drawings | Wardrobe drawings | Custom furniture design,Core storage-zone package.,Adds execution-ready kitchen depth.,Adds complete storage detailing and customization.,Upsell to Interior BOQ / vendor coordination.,yes,yes
Interior Design,PKG-INT-004,Full Interior Package,Homeowners doing complete interiors,per_package,18050,63957,159325,5,8,10,Interior consultation | Mood board | Material palette | Furniture layout | Lighting concept,Interior consultation | Space planning | Mood board | Material palette | Furniture layout | False ceiling concept | Lighting concept | Execution drawings,Interior consultation | Space planning | Mood board | Material palette | Furniture layout | False ceiling concept | Lighting concept | Custom furniture design | Execution drawings | Interior BOQ | Vendor coordination support,Strong starter package for design intent.,Best value full-room-to-execution package.,Premium package with execution and vendor support.,Upsell to 3D Interior Visualization.,yes,yes
Interior Design,PKG-INT-005,Commercial Interior Package,Office / retail clients,per_package,18,8611,65415,0,5,8,Office interior planning,Office interior planning | Retail interior planning | Material palette,Office interior planning | Retail interior planning | Material palette | Lighting concept | Execution drawings,Single commercial planning scope.,Combined commercial planning pack.,Adds execution readiness for serious businesses.,Upsell to Brand + Digital Experience Package.,yes,yes
Landscape,PKG-LND-001,Landscape Starter Package,Residential plot owners,per_package,17,48,22574,5,8,10,Landscape concept | Garden zoning,Landscape concept | Garden zoning | Hardscape layout | Softscape planting plan,Landscape concept | Garden zoning | Hardscape layout | Softscape planting plan | Lighting layout,Simple outdoor start.,Balanced garden planning package.,Adds nighttime experience thinking.,Upsell to Outdoor Experience Package.,yes,yes
Landscape,PKG-LND-002,Outdoor Experience Package,Lifestyle homes / villas,per_package,6661,22098,86429,5,8,10,Hardscape layout | Softscape planting plan | Outdoor seating design,Hardscape layout | Softscape planting plan | Outdoor seating design | Entrance landscape concept,Hardscape layout | Softscape planting plan | Outdoor seating design | Entrance landscape concept | Water feature concept | Landscape 3D views,Focused on usability outdoors.,Adds arrival-zone quality.,Adds feature elements and visual presentation.,Upsell to Terrace Landscape Package.,yes,yes
Landscape,PKG-LND-003,Terrace Landscape Package,Urban homes / hospitality terraces,per_package,12000,35150,116840,0,5,8,Terrace landscape concept,Terrace landscape concept | Lighting layout,Terrace landscape concept | Lighting layout | Outdoor seating design | Landscape 3D views | Irrigation concept support,Core terrace idea package.,Adds evening usability.,Adds visuals and practical irrigation logic.,Upsell to Full Landscape Package.,yes,yes
Graphic / Brand / Presentation,PKG-BRD-001,Brand Foundation Package,Small businesses entering structured branding,per_package,11400,61640,131400,5,8,10,Brand consultation | Color palette selection | Typography selection,Brand consultation | Logo refinement | Color palette selection | Typography selection | Brand guideline sheet,Brand consultation | Logo refinement | Color palette selection | Typography selection | Brand guideline sheet | Business card design | Letterhead / stationery,Foundational visual alignment.,Best-value starter brand system.,Adds practical business-use brand assets.,Upsell to Company Profile Package.,yes,yes
Graphic / Brand / Presentation,PKG-BRD-002,Profile & Pitch Package,B2B firms / labs / consultancies,per_package,20900,54280,133200,5,8,10,Company profile design | Presentation deck,Company profile design | Presentation deck | Proposal template,Company profile design | Presentation deck | Proposal template | Brochure design | Project sheet design,Great for first serious business presentation.,Adds reusable pitching utility.,Adds broader sales communication assets.,Upsell to Digital Authority Package.,yes,yes
Graphic / Brand / Presentation,PKG-BRD-003,Brand Visibility Package,Businesses needing sales collateral,per_package,13300,34040,75600,5,8,10,Social media template pack | Business card design | Letterhead / stationery,Social media template pack | Business card design | Letterhead / stationery | Signage concept,Social media template pack | Business card design | Letterhead / stationery | Signage concept | Hoarding / site board design,Basic visibility assets.,Adds location/space branding.,Adds outdoor communication scale.,Upsell to Full Brand System.,yes,yes
UI/UX / Digital Experience,PKG-DIG-001,Website Starter Package,Clients starting digital presence upgrade,per_package,31350,96600,206100,5,8,10,Website discovery | Sitemap planning | Homepage design,Website discovery | Sitemap planning | Information architecture | Homepage design | Service page design,Website discovery | Sitemap planning | Information architecture | UX wireframes | Homepage design | Service page design | Mobile UX optimization,Strong start for one core web presence.,Most balanced website starter package.,Adds UX depth and mobile polish.,Upsell to Conversion Package.,yes,yes
UI/UX / Digital Experience,PKG-DIG-002,Conversion Package,Lead-driven businesses,per_package,28500,64400,154800,5,8,10,Contact funnel design | CTA optimization | Form flow design,Contact funnel design | CTA optimization | Form flow design | WhatsApp integration planning,Contact funnel design | CTA optimization | Form flow design | WhatsApp integration planning | SEO-ready content structure,Improves direct inquiry flow.,Best-value lead capture package.,Adds stronger search-structure alignment.,Upsell to Digital Authority Package.,yes,yes
UI/UX / Digital Experience,PKG-DIG-003,Digital Authority Package,Established businesses wanting credibility and leads,per_package,49820,148500,430320,6,10,12,Website discovery | Sitemap planning | Homepage design | Service page design | Contact funnel design,Website discovery | Sitemap planning | Information architecture | UX wireframes | Homepage design | Service page design | Contact funnel design | CTA optimization | WhatsApp integration planning,Website discovery | Sitemap planning | Information architecture | UX wireframes | Homepage design | Service page design | Portfolio page design | Blog structure | Contact funnel design | CTA optimization | Mobile UX optimization | Form flow design | WhatsApp integration planning | SEO-ready content structure | Developer handoff support,Good digital revamp package.,Recommended package for serious business growth.,Full premium experience and conversion package.,Upsell to Design System / ongoing advisory.,yes,yes
UI/UX / Digital Experience,PKG-DIG-004,Website System Package,Scale-up businesses / productized firms,per_package,38000,95680,218700,5,8,10,Homepage design | Service page design | Portfolio page design,Homepage design | Service page design | Portfolio page design | Blog structure | Developer handoff support,Homepage design | Service page design | Portfolio page design | Blog structure | Design system / component library | Developer handoff support,Multi-page design pack.,Adds content and dev handoff support.,Adds system-level scalability.,Upsell to SEO and automation layers.,yes,yes
Construction / Execution Support,PKG-EXE-001,Inspection & Review Package,Site-stage residential clients,per_package,9500,31280,70200,5,8,10,Project consultation | Site supervision visit | Progress review meeting,Project consultation | Scope definition | Site supervision visit | Progress review meeting,Project consultation | Scope definition | Site supervision visit | Progress review meeting | Quality checklist support,Basic site-stage support.,Adds scope clarity.,Adds quality-control thinking.,Upsell to Coordination Package.,yes,yes
Construction / Execution Support,PKG-EXE-002,Coordination Package,Clients managing contractors/vendors,per_package,12350,38640,83700,5,8,10,Contractor coordination | Vendor coordination,Contractor coordination | Vendor coordination | Execution timeline planning,Contractor coordination | Vendor coordination | Execution timeline planning | Billing verification support,Basic coordination support.,Better execution discipline.,Adds financial and timeline oversight.,Upsell to Full Execution Advisory.,yes,yes
Construction / Execution Support,PKG-EXE-003,Tender & BOQ Package,Clients entering contractor selection phase,per_package,26600,59800,123300,5,8,10,Tender package support | BOQ review,Tender package support | BOQ review | Material selection support,Tender package support | BOQ review | Material selection support | Scope definition,Tender and BOQ essentials.,Adds smarter material decisions.,Adds stronger commercial clarity.,Upsell to Coordination Package.,yes,yes
Advisory / Premium Thinking,PKG-ADV-001,Monthly Advisory Package,Clients needing ongoing expert input,per_package,10000,39900,107640,0,5,8,Monthly design advisor retainer,Monthly design advisor retainer | Review calls | Concept critique,Monthly design advisor retainer | Review calls | Concept critique | Site decision support | Client presentation support,Light monthly strategic support.,Best-value advisory package.,Premium high-touch advisory system.,Upsell to Design Audit / roadmap.,yes,yes
Advisory / Premium Thinking,PKG-ADV-002,Audit & Improvement Package,Businesses/design clients needing clarity,per_package,12000,47500,166520,0,5,8,Design audit,Design audit | Brand improvement roadmap,Design audit | Brand improvement roadmap | Conversion audit for website | Content direction for photos/videos,Independent audit package.,Adds prioritized brand improvement path.,Adds website and content growth layer.,Upsell to Digital Authority or Brand Package.,yes,yes
AI / Automation Layer,PKG-AUT-001,WhatsApp Automation Starter,Businesses wanting faster response systems,per_package,28500,84640,232200,5,8,10,FAQ automation map | WhatsApp automation planning,Lead qualification flow | FAQ automation map | WhatsApp automation planning,Lead qualification flow | FAQ automation map | WhatsApp automation planning | CRM inquiry routing logic | Auto-response copy system,Starter automation layer for WhatsApp-first businesses.,Adds qualification logic.,Adds CRM and messaging depth.,Upsell to AI Voice / proposal automation.,yes,yes
AI / Automation Layer,PKG-AUT-002,AI Lead System Package,Lead-heavy service businesses,per_package,31350,89240,234000,5,8,10,AI chatbot planning | Lead qualification flow,AI chatbot planning | Lead qualification flow | CRM inquiry routing logic,AI chatbot planning | Lead qualification flow | CRM inquiry routing logic | Auto-response copy system | Proposal automation planning,Good first automation step beyond forms.,Adds backend lead-routing discipline.,Adds proposal and communication automation.,Upsell to AI Voice Workflow Package.,yes,yes
AI / Automation Layer,PKG-AUT-003,AI Voice Workflow Package,Premium automation clients,per_package,35000,95000,269560,0,5,8,AI voice workflow planning,AI voice workflow planning | Lead qualification flow,AI voice workflow planning | Lead qualification flow | CRM inquiry routing logic | Proposal automation planning,High-value voice planning entry package.,Adds stronger qualification architecture.,Adds broader pipeline integration.,Upsell to full automation implementation via partners.,yes,yes
